NET_PRICE,CONTROL,UGDS,PCTPELL,PCTFLOAN,GRAD_DEBT_MDN_SUPP,RPY_3YR_RT_SUPP,SATVRMID,SATMTMID,MD_EARN_WNE_P10,INSTNM
8518.0,1,3791.0,0.3929,0.3703,21355.0,0.4920634921,550.0,535.0,40816.0,Indiana University-South Bend
14216.0,1,33995.0,0.1803,0.2787,19509.0,0.7158610739,630.0,640.0,61279.0,Indiana University-Bloomington
6666.0,1,2941.0,0.4177,0.382,21710.0,0.358699412,535.0,505.0,44517.0,Indiana University-Northwest
6914.0,1,3427.0,0.3335,0.3064,19684.0,0.4901561439,560.0,525.0,44383.0,Indiana University-Southeast
8149.0,1,2639.0,0.3613,0.3766,18000.0,0.4386865059,560.0,550.0,41226.0,Indiana University-East
21077.0,2,2268.0,0.2536,0.5611,24250.0,0.5428111854,555.0,540.0,55759.0,Indiana Wesleyan University-Marion
32369.0,2,8950.0,0.1016,0.2926,19000.0,0.9330334833,730.0,750.0,93220.0,University of Notre Dame
11304.0,2,584.0,0.1824,0.1987,16758.0,0.5930232558,535.0,535.0,40917.0,Oakland City University
36277.0,2,2075.0,0.1242,0.4574,25000.0,0.9328467153,665.0,710.0,97688.0,Rose-Hulman Institute of Technology
17773.0,2,1724.0,0.4187,0.6805,25976.0,0.5794701987,530.0,525.0,48788.0,University of Saint Francis-Fort Wayne
15385.0,2,784.0,0.5453,0.7004,19512.0,0.5007680492,535.0,513.0,38510.0,Saint Mary-of-the-Woods College
24335.0,2,1375.0,0.2552,0.6287,27000.0,0.8443708609,588.0,573.0,59312.0,Saint Mary's College
29030.0,2,156.0,0.4906,0.7736,26213.0,0.625,490.0,465.0,63606.0,Saint Elizabeth School of Nursing
25144.0,2,2254.0,0.1985,0.4997,25000.0,0.6286919831,560.0,575.0,54719.0,Trine University
19772.0,2,840.0,0.265,0.6544,27000.0,0.7008310249,620.0,620.0,62697.0,Wabash College
18031.0,2,1451.0,0.4663,0.7555,25000.0,0.5823199252,532.0,520.0,47076.0,Buena Vista University
22535.0,2,1106.0,0.2545,0.7107,26984.0,0.7709923664,565.0,565.0,53417.0,Central College
26777.0,2,702.0,0.3672,0.78,26717.0,0.748549323,505.0,505.0,50541.0,Clarke University
21543.0,2,1045.0,0.2365,0.5768,27000.0,0.7101167315,660.0,620.0,51898.0,Cornell College
25575.0,2,1411.0,0.2075,0.4923,21500.0,0.9128440367,580.0,590.0,52342.0,Dordt University
29098.0,2,2857.0,0.1854,0.4487,23000.0,0.8358433735,655.0,645.0,73451.0,Drake University
15226.0,2,297.0,0.3171,0.2083,12971.0,0.8675496689,580.0,520.0,42315.0,Faith Baptist Bible College and Theological Seminary
18561.0,2,922.0,0.5333,0.7963,21212.0,0.5878995434,495.0,505.0,45600.0,Graceland University-Lamoni
36663.0,2,1532.0,0.4008,0.7149,22500.0,0.6125,500.0,500.0,53256.0,Grand View University
28610.0,2,1713.0,0.2009,0.3443,17500.0,0.885786802,710.0,740.0,62529.0,Grinnell College
